material_score,correct
0,0.8202833706189411
1,0.8493913761089333
2,0.7465368631676158
3,0.7832380952380953
4,0.7447000121698917
5,0.7672836005567871
6,0.7133150398536522
7,0.7170517619723764
8,0.7014860377769311
9,0.7113434980442245
10,0.6949332077914435
11,0.7036681390435952
12,0.7151024961651095
13,0.705470737913486
14,0.7031631143279882
15,0.6861049107142857
16,0.7112199990926001
17,0.6897989734816082
18,0.7043704710144928
19,0.6750994255413169
20,0.7178950875504386
21,0.6999508720216163
22,0.7459658223484413
23,0.7305129913391073
24,0.7890915593705293
